Currency,Date,Today_Closing_Price,NextDay_Closing_Price,Opening_Price,24h_High,24h_Low
BCH,01/05/2019,265.0206269,270.491584,245.7624312,265.0206269,243.6404088
BCH,02/05/2019,270.491584,273.7591154,265.0206269,278.3619767,262.1490356
BCH,03/05/2019,273.7591154,291.826197,274.4432355,282.1989796,270.9325478
BCH,04/05/2019,291.826197,297.7497021,273.7591154,298.7731489,270.686346
BCH,05/05/2019,297.7497021,299.0853997,292.3600085,309.1944826,279.7973755
BCH,06/05/2019,299.0853997,295.7090508,295.9411899,303.8118437,291.3960612
BCH,07/05/2019,295.7090508,296.9284879,299.0853994,300.6378708,286.0902792
BCH,08/05/2019,296.9284879,292.4831045,293.1464269,303.0126382,288.8028199
BCH,09/05/2019,292.4831045,293.1588968,289.8040594,293.1588105,282.0744082
BCH,10/05/2019,293.1588968,296.6173372,292.4839252,297.4981712,284.918968
BCH,11/05/2019,296.6173372,346.4064742,293.1634824,302.6692618,286.1815606
BCH,12/05/2019,346.4064742,362.071068,295.8108687,348.5371673,295.6157972
BCH,13/05/2019,362.071068,395.3433694,352.8244131,378.723601,336.5264273
BCH,14/05/2019,395.3433694,397.8902216,362.071068,410.9967635,359.7176274
BCH,15/05/2019,397.8902216,413.1032766,395.3792923,416.7444832,382.0855905
BCH,16/05/2019,413.1032766,413.9664627,405.6801711,413.1162045,385.4327858
BCH,17/05/2019,413.9664627,383.2281919,413.1681021,460.8466528,400.0252478
BCH,18/05/2019,383.2281919,382.8590095,414.294064,430.4607496,325.1350031
BCH,19/05/2019,382.8590095,436.8738257,383.122673,398.786815,372.9165286
BCH,20/05/2019,436.8738257,409.0495601,379.2092989,439.0548389,378.2597085
BCH,21/05/2019,409.0495601,419.1757969,436.8722663,439.1486811,380.9826882
BCH,22/05/2019,419.1757969,396.4912533,413.9765089,447.1407414,399.6005676
BCH,23/05/2019,396.4912533,402.3903709,419.315903,424.2461889,381.2386518
BCH,24/05/2019,402.3903709,410.2159118,396.5609923,409.013123,368.5516799
BCH,25/05/2019,410.2159118,408.2612499,405.9162417,423.8703964,394.4584266
BCH,26/05/2019,408.2612499,430.9176077,408.8725386,415.5094909,399.7258629
BCH,27/05/2019,430.9176077,435.5916512,408.2615084,439.9487879,390.3245711
BCH,28/05/2019,435.5916512,435.7398547,430.9184615,458.3405428,418.0538693
BCH,29/05/2019,435.7398547,457.1166904,440.1170026,445.5382592,426.4624323
BCH,30/05/2019,457.1166904,424.554437,435.7398272,466.1662882,420.3876331
BCH,31/05/2019,424.554437,437.8915009,457.6382511,482.3451203,404.1113485
BCH,01/06/2019,437.8915009,438.1577238,424.319802,443.7154768,415.5247656
BCH,02/06/2019,438.1577238,443.0990819,437.8915032,448.5524807,428.2914455
BCH,03/06/2019,443.0990819,423.6480189,438.1645146,451.3301544,429.2979388
BCH,04/06/2019,423.6480189,380.5872811,443.0823679,447.2473163,417.1927158
BCH,05/06/2019,380.5872811,398.3608373,401.3812106,401.4165697,363.3549928
BCH,06/06/2019,398.3608373,392.6534888,380.5819176,414.8197444,377.0429743
BCH,07/06/2019,392.6534888,405.9902688,397.704664,402.4066631,369.5351996
BCH,08/06/2019,405.9902688,396.6992416,392.8753972,410.3665878,391.0887696
BCH,09/06/2019,396.6992416,378.8821421,405.8725531,406.4558421,386.4433718
BCH,10/06/2019,378.8821421,391.6508469,393.813963,397.5415156,371.6597669
BCH,11/06/2019,391.6508469,389.8961341,378.8821421,400.6888461,374.4276582
BCH,12/06/2019,389.8961341,394.4084306,394.3658792,397.8059926,379.8389957
BCH,13/06/2019,394.4084306,414.365425,389.8961341,404.1230887,384.1421856
BCH,14/06/2019,414.365425,418.8142694,397.4361649,424.3973323,395.654689
BCH,15/06/2019,418.8142694,420.4045966,414.366449,420.6462044,401.2065866
BCH,16/06/2019,420.4045966,427.7153782,421.4437223,426.0109957,413.0645357
BCH,17/06/2019,427.7153782,432.7092448,420.4044832,441.5645827,418.4955332
BCH,18/06/2019,432.7092448,407.2310395,427.7163866,439.8545198,425.3649124
BCH,19/06/2019,407.2310395,414.4210027,431.124675,431.5395147,402.4205652
BCH,20/06/2019,414.4210027,414.534986,407.2310464,420.367654,406.5646644
BCH,21/06/2019,414.534986,434.546383,414.421811,417.8304593,404.5292971
BCH,22/06/2019,434.546383,467.9680628,414.5348191,443.2512114,412.7557236
BCH,23/06/2019,467.9680628,475.6654935,441.7092025,515.0956581,432.8918695
BCH,24/06/2019,475.6654935,470.817025,468.0891378,499.5030795,467.9271979
BCH,25/06/2019,470.817025,478.5379068,475.6680393,476.4275207,458.7286317
BCH,26/06/2019,478.5379068,471.023569,470.8170252,483.4262147,462.8927289
BCH,27/06/2019,471.023569,416.482265,478.542083,515.0737115,445.757108
BCH,28/06/2019,416.482265,432.6305967,471.0230648,489.5505142,383.3473754
BCH,29/06/2019,432.6305967,434.2833254,416.3903226,438.027729,395.287822
BCH,30/06/2019,434.2833254,407.1774933,434.4536155,439.6807655,411.5084395
BCH,01/07/2019,407.1774933,412.1515838,434.2919166,448.398034,396.7430976
BCH,02/07/2019,412.1515838,408.2998943,407.1931122,418.6280254,386.4108656
BCH,03/07/2019,408.2998943,419.798546,412.2177236,421.9204576,381.0985824
BCH,04/07/2019,419.798546,413.6117169,408.0795591,421.8290262,403.0027359
BCH,05/07/2019,413.6117169,399.9708467,419.8001061,423.3033607,411.5161135
BCH,06/07/2019,399.9708467,407.2828821,399.7214046,410.3783451,391.3868363
BCH,07/07/2019,407.2828821,409.7469235,399.9704746,419.1189751,397.9196168
BCH,08/07/2019,409.7469235,418.9974919,407.2954019,415.70764,398.00036
BCH,09/07/2019,418.9974919,415.2131028,409.7557377,419.4166712,406.2839156
BCH,10/07/2019,415.2131028,389.9500694,418.9878357,428.672758,410.8271168
BCH,11/07/2019,389.9500694,342.1983726,415.2498403,423.2651727,380.278133
BCH,12/07/2019,342.1983726,352.6785319,389.939602,391.087815,315.0224869
BCH,13/07/2019,352.6785319,341.070821,342.2163847,361.3201211,334.5977531
BCH,14/07/2019,341.070821,308.8950198,353.714521,354.1504916,330.8816504
BCH,15/07/2019,308.8950198,320.0246929,343.815193,345.8049101,299.5660554
