Currency,Date,Today_Closing_Price,NextDay_Closing_Price,Opening_Price,24h_High,24h_Low
ETC,01/05/2019,5.872779167,5.820319055,5.591878849,5.896146015,5.582673819
ETC,02/05/2019,5.820319055,5.842724535,5.872779167,5.969066582,5.785345325
ETC,03/05/2019,5.842724535,6.059127694,5.846314638,5.870895123,5.800364894
ETC,04/05/2019,6.059127694,5.960780528,5.842724535,6.164638074,5.80369425
ETC,05/05/2019,5.960780528,5.7869933,6.063630084,6.149647589,5.778773742
ETC,06/05/2019,5.7869933,5.782913942,5.924917978,5.937011745,5.723812186
ETC,07/05/2019,5.782913942,5.765571916,5.7869933,5.822243134,5.574213381
ETC,08/05/2019,5.765571916,5.811919002,5.782913942,5.926496489,5.704074693
ETC,09/05/2019,5.811919002,5.668260807,5.708299924,5.827548698,5.66416984
ETC,10/05/2019,5.668260807,5.775903318,5.811919002,5.859491419,5.629065326
ETC,11/05/2019,5.775903318,6.341445123,5.668424938,5.816611547,5.623285471
ETC,12/05/2019,6.341445123,6.01772513,5.749971417,6.370101283,5.73352585
ETC,13/05/2019,6.01772513,6.220584775,6.134317,6.317676123,5.875174924
ETC,14/05/2019,6.220584775,6.621481783,6.01772513,6.364200722,5.934445053
ETC,15/05/2019,6.621481783,7.682188868,6.219164031,6.816805316,6.144521675
ETC,16/05/2019,7.682188868,7.817630074,6.736031019,7.726161116,6.674814241
ETC,17/05/2019,7.817630074,7.446358164,7.682194089,8.629237206,7.281019323
ETC,18/05/2019,7.446358164,7.484858109,7.817645051,8.074059074,7.161057982
ETC,19/05/2019,7.484858109,8.009178885,7.446358164,7.712678513,7.383505015
ETC,20/05/2019,8.009178885,7.352801828,7.431458629,8.033511571,7.423507913
ETC,21/05/2019,7.352801828,7.472585616,8.009182045,8.04922429,6.862334989
ETC,22/05/2019,7.472585616,6.986522572,7.350139198,7.664282195,7.24128442
ETC,23/05/2019,6.986522572,7.053865369,7.472584991,7.526865449,6.816900251
ETC,24/05/2019,7.053865369,7.388388647,6.986257623,7.136950905,6.690975749
ETC,25/05/2019,7.388388647,7.339223701,7.081500753,7.440806979,6.971734924
ETC,26/05/2019,7.339223701,7.657651441,7.313119667,7.404324362,7.191819933
ETC,27/05/2019,7.657651441,8.037840192,7.340291323,7.788675658,7.122353323
ETC,28/05/2019,8.037840192,8.235122369,7.657519195,8.269731212,7.555326717
ETC,29/05/2019,8.235122369,8.258166687,8.152462947,8.496122509,8.021512385
ETC,30/05/2019,8.258166687,8.116314867,8.235119651,8.426858485,7.674608511
ETC,31/05/2019,8.116314867,8.528570739,8.208115743,8.914468515,7.796332311
ETC,01/06/2019,8.528570739,8.677289764,8.115602201,8.539305345,5.868508952
ETC,02/06/2019,8.677289764,9.539161201,8.529226322,8.89561181,8.431222472
ETC,03/06/2019,9.539161201,9.745507349,8.677499197,9.66686335,6.718944657
ETC,04/06/2019,9.745507349,8.03605681,9.539156514,9.855807125,5.853341808
ETC,05/06/2019,8.03605681,8.133893238,9.349888936,9.349888936,7.531739397
ETC,06/06/2019,8.133893238,7.82400829,8.036754109,8.446002204,5.807727846
ETC,07/06/2019,7.82400829,8.370330135,8.132350715,8.241626756,6.502428695
ETC,08/06/2019,8.370330135,8.421402811,7.824010238,8.453716446,6.565379536
ETC,09/06/2019,8.421402811,8.054288257,8.331159681,8.841998594,5.169037442
ETC,10/06/2019,8.054288257,8.228276419,8.440360849,8.545563186,6.423299111
ETC,11/06/2019,8.228276419,8.241036138,8.059260426,8.425151279,7.923005515
ETC,12/06/2019,8.241036138,8.528471015,8.341356596,8.359612713,2.505396048
ETC,13/06/2019,8.528471015,8.560275313,8.241024034,8.841582773,6.299950799
ETC,14/06/2019,8.560275313,8.534107616,8.652658395,8.765767046,6.310987002
ETC,15/06/2019,8.534107616,8.581631241,8.563891694,8.658614127,6.016385876
ETC,16/06/2019,8.581631241,8.809082374,8.583984506,8.726429684,6.744360851
ETC,17/06/2019,8.809082374,8.864545739,8.581659127,8.948365965,7.078150213
ETC,18/06/2019,8.864545739,8.411866773,8.809059387,8.98471193,8.622403303
ETC,19/06/2019,8.411866773,8.531576092,8.808962344,8.910602046,8.250470787
ETC,20/06/2019,8.531576092,8.510490497,8.411471365,8.708206547,2.475024084
ETC,21/06/2019,8.510490497,8.803992761,8.532525023,8.60936229,5.878915999
ETC,22/06/2019,8.803992761,8.985311326,8.510808426,8.878995953,6.906782011
ETC,23/06/2019,8.985311326,9.224497068,8.807835617,9.309309542,8.735476828
ETC,24/06/2019,9.224497068,9.278779115,8.985456326,9.61356295,8.977781647
ETC,25/06/2019,9.278779115,9.259746446,9.228452701,9.388777421,7.47087885
ETC,26/06/2019,9.259746446,8.81634684,9.278629458,9.358696891,8.983237464
ETC,27/06/2019,8.81634684,7.66873731,9.260357549,9.685455695,8.667524979
ETC,28/06/2019,7.66873731,7.982151135,8.816073356,9.13023384,7.109258435
ETC,29/06/2019,7.982151135,8.218114816,7.665351137,8.071006419,7.550445425
ETC,30/06/2019,8.218114816,7.827201317,8.021761262,8.268874636,7.568369044
ETC,01/07/2019,7.827201317,7.687885611,8.218333503,8.666642872,7.72005217
ETC,02/07/2019,7.687885611,7.757069376,7.827014426,8.001299977,7.269706096
ETC,03/07/2019,7.757069376,7.825254687,7.68000457,7.887036301,7.326246003
ETC,04/07/2019,7.825254687,7.932666127,7.712324443,7.90577983,7.642032893
ETC,05/07/2019,7.932666127,7.795033836,7.825261038,8.183312629,7.710845718
ETC,06/07/2019,7.795033836,7.808667548,7.727100276,7.92176125,7.60954815
ETC,07/07/2019,7.808667548,7.947727671,7.794977118,8.023317489,7.744515557
ETC,08/07/2019,7.947727671,8.061555453,7.808344038,8.008809313,7.761195462
ETC,09/07/2019,8.061555453,7.939812765,7.948189636,8.079492365,7.882110385
ETC,10/07/2019,7.939812765,7.317422444,8.061423715,8.267359662,7.85980731
ETC,11/07/2019,7.317422444,6.702719952,7.965293329,8.03931661,7.045615923
ETC,12/07/2019,6.702719952,6.896942116,7.317445437,7.391780235,6.254587302
ETC,13/07/2019,6.896942116,6.613110601,6.703243905,6.995886798,6.614556227
ETC,14/07/2019,6.613110601,5.886916136,6.896963493,6.951627139,6.476118339
ETC,15/07/2019,5.886916136,5.843472718,6.663064158,6.768328722,5.765601176
ETC,16/07/2019,5.843472718,5.410637674,5.885975269,5.938345175,5.179892633
ETC,17/07/2019,5.410637674,5.756954834,5.843380869,6.100240717,5.141922336
ETC,18/07/2019,5.756954834,6.021902465,5.411387597,5.976370918,5.250980293
ETC,19/07/2019,6.021902465,5.850639177,5.716289864,6.077791565,5.420794594
ETC,20/07/2019,5.850639177,6.310938324,6.021853432,6.111581185,5.657792019
ETC,21/07/2019,6.310938324,6.277133123,5.864896653,6.342241807,5.858018531
ETC,22/07/2019,6.277133123,6.335191404,6.310558829,6.340660726,6.052786195
ETC,23/07/2019,6.335191404,6.10727059,6.277078859,6.488828594,6.225010882
ETC,24/07/2019,6.10727059,6.052954111,6.335139398,6.371523272,5.949685872
ETC,25/07/2019,6.052954111,6.023260161,6.028798624,6.238655645,5.770798982
ETC,26/07/2019,6.023260161,6.212844854,6.052989521,6.282619067,5.983498236
ETC,27/07/2019,6.212844854,5.904507403,6.023070078,6.251704833,5.898736039
ETC,28/07/2019,5.904507403,5.823535996,6.212545499,6.340061754,5.7703827
ETC,29/07/2019,5.823535996,5.922267511,5.941004991,6.012082267,5.558483654
ETC,30/07/2019,5.922267511,5.93835277,5.914111471,6.088565391,5.841571489
ETC,31/07/2019,5.93835277,6.039957202,5.922286966,6.001929469,5.806668225
ETC,01/08/2019,6.039957202,5.983807249,5.938392215,6.090560654,5.800023695
ETC,02/08/2019,5.983807249,5.861036752,6.039858826,6.07934801,5.844805598
ETC,03/08/2019,5.861036752,5.892368071,5.983763751,6.018731114,5.812760862
ETC,04/08/2019,5.892368071,6.088579669,5.861063331,5.961788639,5.84252526
ETC,05/08/2019,6.088579669,6.236272817,5.892352108,6.164054183,5.844908534
ETC,06/08/2019,6.236272817,5.818399311,6.089051143,6.380872238,6.087761209
ETC,07/08/2019,5.818399311,5.933563727,6.236417353,6.255958208,5.799191325
ETC,08/08/2019,5.933563727,5.95143835,5.818663864,6.021034773,5.811924
