Currency,Date,Today_Closing_Price,NextDay_Closing_Price,Opening_Price,24h_High,24h_Low
ETH,01/05/2019,161.2913029,157.8012726,153.5656809,162.0022796,153.5621439
ETH,02/05/2019,157.8012726,160.9700953,161.2913029,163.4850412,157.5398057
ETH,03/05/2019,160.9700953,166.1339035,158.8186778,161.7107499,157.4255983
ETH,04/05/2019,166.1339035,163.8906998,160.9700953,169.4580392,159.3876543
ETH,05/05/2019,163.8906998,162.9348635,166.2612587,169.0984118,159.4444313
ETH,06/05/2019,162.9348635,173.605118,163.0249998,164.4565507,158.9576223
ETH,07/05/2019,173.605118,173.8130614,162.9348544,176.1419967,159.4688469
ETH,08/05/2019,173.8130614,170.8984032,171.4987987,180.9202927,169.1960999
ETH,09/05/2019,170.8984032,170.9917809,167.592945,172.4007053,164.0970315
ETH,10/05/2019,170.9917809,174.1020005,170.8987343,173.6213547,166.7188906
ETH,11/05/2019,174.1020005,200.4883684,171.0468297,176.9262577,169.0667092
ETH,12/05/2019,200.4883684,188.3712623,173.1685198,201.0744132,173.167354
ETH,13/05/2019,188.3712623,197.3040944,193.5311125,203.994253,183.4799913
ETH,14/05/2019,197.3040944,217.0781324,188.3712623,208.6716874,186.6858254
ETH,15/05/2019,217.0781324,246.8264233,197.2995746,217.1880134,193.3100008
ETH,16/05/2019,246.8264233,260.3302092,218.4421333,247.0957861,218.2680924
ETH,17/05/2019,260.3302092,239.4492649,246.8210856,279.8812675,243.6837211
ETH,18/05/2019,239.4492649,238.931991,260.3314924,269.7984664,224.8613405
ETH,19/05/2019,238.931991,263.4469652,246.8832332,250.7455078,233.9096324
ETH,20/05/2019,263.4469652,250.0415313,236.8134684,263.9456184,235.7462827
ETH,21/05/2019,250.0415313,255.8952567,263.4497712,265.731034,238.6343525
ETH,22/05/2019,255.8952567,246.4173094,251.9595337,263.4778804,247.6628728
ETH,23/05/2019,246.4173094,245.987827,255.8952241,261.0659458,240.1637603
ETH,24/05/2019,245.987827,250.5181481,246.407558,248.3938024,231.6547624
ETH,25/05/2019,250.5181481,252.8623843,245.4053483,255.7286147,242.3041411
ETH,26/05/2019,252.8623843,264.7384593,249.6576557,258.0959148,248.0271095
ETH,27/05/2019,264.7384593,269.1706596,252.88237,270.6938734,246.2654321
ETH,28/05/2019,269.1706596,272.3649993,264.738369,280.1591994,264.4292806
ETH,29/05/2019,272.3649993,270.458631,271.3580517,276.6166322,265.4736742
ETH,30/05/2019,270.458631,253.2695206,272.3645995,274.3331889,260.7551675
ETH,31/05/2019,253.2695206,262.6178289,269.4681278,288.8288033,174.8634317
ETH,01/06/2019,262.6178289,268.0068681,253.2541136,264.0152554,208.6338414
ETH,02/06/2019,268.0068681,269.274568,262.6332284,275.0262939,261.3622702
ETH,03/06/2019,269.274568,257.9038145,268.0440843,273.8313452,210.3151091
ETH,04/06/2019,257.9038145,239.0754425,269.350444,270.9032065,211.3894776
ETH,05/06/2019,239.0754425,246.3609228,249.6732556,250.8096299,233.7830047
ETH,06/06/2019,246.3609228,243.5358114,239.0304545,249.249108,205.4552916
ETH,07/06/2019,243.5358114,250.9237807,246.1550866,249.6906583,198.8965083
ETH,08/06/2019,250.9237807,245.1594275,243.5257541,254.2408274,171.8649292
ETH,09/06/2019,245.1594275,229.5070458,250.9237246,251.9029196,188.9174314
ETH,10/06/2019,229.5070458,243.6975775,244.337663,245.1938419,184.8904299
ETH,11/06/2019,243.6975775,245.6023534,229.5109983,246.5467556,227.5986832
ETH,12/06/2019,245.6023534,257.0824436,247.6230872,248.8662286,170.4118677
ETH,13/06/2019,257.0824436,255.8128946,245.5892972,260.1928111,187.7823567
ETH,14/06/2019,255.8128946,263.9902062,262.4475639,263.972121,194.6956137
ETH,15/06/2019,263.9902062,268.8329564,255.796485,264.6293399,177.9932102
ETH,16/06/2019,268.8329564,270.7520786,263.8241691,273.3375335,190.6861686
ETH,17/06/2019,270.7520786,273.8801723,268.838735,278.8355814,207.9707537
ETH,18/06/2019,273.8801723,263.1083722,270.7634289,274.9991089,267.5539524
ETH,19/06/2019,263.1083722,268.6365511,273.9480765,274.3078433,261.3101545
ETH,20/06/2019,268.6365511,271.8312145,263.0697806,269.9607027,185.5163832
ETH,21/06/2019,271.8312145,291.9443651,268.6866404,274.2616507,176.3933055
ETH,22/06/2019,291.9443651,302.005795,271.8410268,295.1896692,247.9209068
ETH,23/06/2019,302.005795,308.2046756,295.9257523,315.101062,293.0506112
ETH,24/06/2019,308.2046756,308.6652726,301.9969434,319.0247986,301.9419033
ETH,25/06/2019,308.6652726,316.2122784,308.2244555,313.5061674,222.140954
ETH,26/06/2019,316.2122784,324.1308553,308.8059673,316.4377844,305.5939741
ETH,27/06/2019,324.1308553,296.1115559,316.2487084,363.0531639,314.1520309
ETH,28/06/2019,296.1115559,309.4092893,324.1522872,342.9652397,274.5793916
ETH,29/06/2019,309.4092893,314.0469441,296.0943987,312.1489666,289.6351825
ETH,30/06/2019,314.0469441,293.5303669,310.3283211,314.3642121,291.677735
ETH,01/07/2019,293.5303669,289.4528415,314.0430714,323.4377604,288.3884115
ETH,02/07/2019,289.4528415,291.4472478,293.5804698,301.5106445,279.0722498
ETH,03/07/2019,291.4472478,301.4034854,289.4603019,296.4545036,271.7342248
ETH,04/07/2019,301.4034854,293.1470523,290.8884029,301.9217879,289.2267636
